F_1,S_1,F_2,S_2
-1,0,-1,1
1,0,1,-1
-1,0,-1,1
1,0,1,1
-1,0,-1,0
-1,0,-1,0
1,0,1,-1
1,0,-1,1
1,0,-1,-1
1,0,1,0
1,0,1,-1
1,0,1,1
1,0,1,0
1,0,1,1
1,0,1,-1
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,1
1,0,1,-1
-1,0,-1,0
-1,0,-1,0
-1,0,-1,0
1,0,1,1
1,0,-1,0
1,0,-1,-1
-1,0,-1,1
-1,0,1,0
-1,0,0,0
-1,0,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,-1,0
-1,0,-1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
-1,0,1,0
-1,0,1,0
-1,0,-1,0
1,0,1,0
-1,1,-1,0
-1,1,1,0
-1,-1,-1,0
-1,0,-1,0
0,0,1,1
0,0,1,0
1,0,1,1
1,0,1,1
1,0,1,0
1,0,1,1
-1,0,1,-1
-1,0,1,1
-1,0,1,1
-1,0,1,0
-1,0,1,-1
-1,0,1,-1
1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
1,0,1,0
-1,-1,1,1
1,-1,-1,1
1,0,1,-1
-1,1,1,-1
1,0,1,-1
1,0,1,1
1,0,-1,-1
1,-1,-1,1
1,1,-1,-1
1,1,1,-1
1,-1,1,-1
1,0,1,1
1,0,1,1
1,1,1,-1
1,-1,-1,-1
1,-1,-1,1
1,1,-1,1
1,-1,-1,1
-1,0,1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,-1,1
-1,0,-1,0
1,0,1,0
1,0,-1,-1
1,0,-1,0
1,0,1,0
1,0,-1,-1
1,0,-1,1
-1,0,-1,1
-1,0,-1,-1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,0
-1,0,1,0
1,0,-1,0
-1,0,1,0
1,0,1,0
-1,0,1,0
-1,1,1,0
1,0,1,0
-1,1,1,1
-1,1,-1,-1
-1,-1,-1,0
1,-1,1,0
-1,1,-1,0
-1,-1,-1,1
1,1,1,0
1,-1,1,0
1,1,-1,1
1,-1,-1,0
-1,0,-1,0
1,0,-1,0
-1,0,1,0
1,0,1,1
-1,0,1,1
1,0,-1,-1
-1,0,-1,-1
-1,0,-1,1
1,0,-1,-1
-1,0,-1,1
-1,0,1,-1
-1,0,-1,1
-1,0,1,-1
0,0,1,1
0,0,1,0
1,0,-1,-1
-1,0,-1,1
-1,0,1,0
-1,1,1,0
-1,-1,-1,0
1,1,1,0
-1,1,1,0
1,-1,1,0
1,0,1,0
1,1,1,0
-1,-1,1,1
1,0,-1,1
1,-1,1,-1
1,1,1,0
1,-1,-1,0
1,-1,-1,0
1,1,-1,1
1,-1,1,0
1,0,1,-1
1,-1,1,1
1,1,-1,-1
1,1,-1,0
-1,1,1,0
1,-1,1,1
-1,1,1,1
1,1,-1,1
-1,-1,-1,-1
-1,-1,1,1
-1,1,-1,-1
1,-1,-1,-1
1,1,-1,0
1,-1,1,0
-1,1,-1,1
1,1,-1,1
1,-1,-1,-1
1,1,-1,1
1,-1,1,-1
1,-1,-1,1
1,1,-1,-1
0,0,1,0
0,0,-1,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0,1,0
0,0,-1,0
0,0,1,1
1,0,1,-1
-1,0,-1,0
1,0,1,0
1,0,-1,-1
1,0,1,-1
-1,0,1,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,1
-1,0,-1,-1
1,0,1,1
-1,1,1,-1
-1,0,-1,-1
-1,1,-1,1
1,1,-1,-1
-1,-1,-1,1
-1,-1,-1,1
-1,0,-1,1
-1,0,-1,1
-1,-1,-1,-1
-1,1,1,1
-1,1,-1,-1
1,-1,1,1
1,-1,-1,-1
-1,0,-1,1
1,-1,1,-1
-1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
1,0,1,0
1,0,1,0
-1,0,1,0
1,0,1,1
1,0,1,-1
-1,0,-1,1
-1,0,1,1
-1,1,1,0
1,-1,1,0
-1,1,1,0
-1,1,-1,1
-1,1,-1,1
-1,1,-1,0
-1,-1,1,0
-1,-1,-1,1
-1,1,-1,-1
-1,-1,1,1
-1,-1,-1,1
1,1,-1,-1
1,-1,-1,1
1,-1,1,1
1,-1,1,-1
1,1,-1,1
-1,1,-1,-1
1,1,-1,1
-1,0,-1,0
1,0,-1,0
-1,0,1,0
1,0,1,0
-1,0,1,0
1,0,-1,0
1,0,1,0
1,0,-1,0
-1,1,-1,0
-1,-1,1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
-1,1,-1,0
-1,0,-1,0
-1,-1,-1,0
-1,1,-1,0
-1,-1,-1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
1,0,1,1
-1,0,1,-1
-1,0,1,1
-1,0,1,0
1,0,1,0
-1,0,-1,0
-1,0,1,0
1,0,-1,0
-1,0,1,0
1,0,-1,1
-1,0,-1,1
1,0,-1,0
1,0,-1,-1
1,0,-1,1
1,0,1,-1
-1,0,-1,-1
1,0,-1,1
1,0,-1,1
1,1,-1,-1
1,-1,-1,1
1,0,-1,-1
-1,0,1,0
1,0,1,0
-1,0,1,0
1,0,1,1
1,0,1,-1
-1,0,1,0
-1,0,-1,1
-1,0,-1,-1
-1,0,1,1
-1,0,-1,0
-1,0,-1,-1
1,0,1,1
-1,0,-1,1
-1,0,-1,1
-1,0,1,-1
1,0,-1,1
-1,1,-1,-1
-1,1,1,0
-1,-1,-1,0
1,1,1,0
-1,1,-1,0
1,-1,1,0
-1,1,-1,0
-1,1,-1,0
-1,-1,-1,0
-1,1,1,1
-1,1,-1,-1
-1,-1,-1,1
-1,1,-1,-1
1,1,-1,0
-1,1,-1,0
-1,1,-1,1
-1,1,-1,0
1,-1,1,-1
-1,-1,-1,1
-1,1,-1,-1
-1,1,1,1
1,-1,-1,1
1,1,1,-1
1,-1,1,1
-1,1,1,-1
1,-1,1,-1
-1,-1,-1,-1
-1,-1,-1,1
-1,1,-1,1
-1,-1,-1,1
-1,1,1,1
-1,1,-1,-1
-1,-1,-1,1
-1,1,-1,1
1,1,1,-1
1,1,1,1
-1,1,-1,1
-1,1,-1,1
0,0,1,0
0,0,1,0
0,0,1,0
0,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,-1,0
1,0,1,1
1,0,1,-1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,1
-1,1,1,-1
1,1,1,1
1,-1,1,-1
1,-1,1,0
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,-1,1
1,0,-1,1
1,0,-1,-1
-1,0,-1,1
-1,0,-1,-1
1,0,-1,-1
-1,0,-1,1
-1,0,-1,0
1,0,1,-1
-1,0,1,0
-1,0,-1,0
1,1,1,1
-1,-1,-1,0
-1,0,-1,0
1,-1,-1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
1,0,-1,0
-1,0,1,0
-1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,1,0
1,0,1,0
-1,0,-1,0
1,0,-1,0
-1,0,-1,0
1,0,-1,1
-1,0,-1,-1
-1,0,-1,0
-1,0,1,0
1,0,1,0
-1,0,1,1
1,0,1,-1
1,0,1,-1
-1,0,1,1
1,0,1,0
-1,0,-1,0
1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
-1,1,1,0
-1,-1,-1,0
-1,1,1,0
-1,0,1,0
-1,1,-1,0
-1,-1,1,0
-1,0,-1,0
-1,1,-1,0
1,-1,-1,0
1,1,-1,0
-1,-1,-1,1
-1,0,1,-1
-1,1,1,1
1,-1,1,-1
-1,1,1,1
1,-1,-1,1
1,1,1,-1
1,0,1,-1
1,-1,-1,0
1,1,-1,1
1,-1,-1,1
1,0,1,-1
1,0,-1,0
1,1,-1,0
1,-1,-1,0
-1,1,1,-1
1,-1,-1,1
1,0,-1,1
1,-1,-1,-1
1,0,1,0
-1,0,1,0
1,0,-1,0
1,0,1,0
-1,0,-1,0
1,0,1,0
1,0,-1,0
-1,0,-1,0
1,0,1,0
1,1,-1,0
-1,-1,-1,0
-1,0,1,0
1,0,1,0
1,0,1,0
-1,1,-1,0
-1,0,-1,1
-1,-1,1,1
1,1,-1,-1
-1,1,-1,1
-1,1,-1,0
-1,-1,-1,0
-1,1,1,0
-1,-1,-1,0
-1,1,1,0
-1,-1,1,0
-1,1,1,1
-1,1,-1,-1
-1,1,1,1
1,-1,1,1
1,1,1,1
-1,-1,1,-1
-1,-1,1,1
1,1,1,0
-1,-1,-1,-1
1,-1,1,-1
-1,-1,-1,1
-1,1,-1,-1
1,0,1,0
1,0,-1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
1,0,1,0
1,0,1,0
1,0,-1,0
1,0,1,0
-1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,1,1,1
1,-1,1,-1
1,0,-1,-1
1,1,-1,1
-1,0,-1,0
1,0,1,0
1,0,-1,0
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
-1,0,-1,0
-1,0,-1,0
1,0,1,0
-1,0,-1,0
-1,0,1,0
-1,0,-1,0
-1,0,1,0
1,1,-1,1
1,0,-1,0
-1,0,1,0
1,0,1,0
-1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,-1,0
1,0,1,1
1,0,1,-1
1,0,1,0
-1,0,1,0
1,0,1,0
1,0,1,1
1,1,1,1
1,1,1,-1
1,1,1,0
1,0,1,-1
-1,0,-1,0
1,0,-1,0
1,0,1,0
-1,0,-1,0
1,0,1,0
-1,0,-1,0
1,0,1,0
1,1,-1,0
1,-1,1,0
1,1,1,0
1,-1,1,0
-1,0,-1,0
-1,0,-1,0
-1,1,1,0
-1,1,-1,0
-1,1,-1,0
-1,-1,-1,0
-1,-1,-1,0
1,0,-1,0
1,0,1,0
1,0,1,0
-1,0,-1,0
-1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,1
1,0,1,-1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,1
-1,0,1,0
-1,1,1,-1
1,-1,1,1
1,1,1,1
-1,0,1,0
1,0,-1,0
1,0,1,0
1,1,1,0
1,1,1,0
1,0,1,0
1,-1,1,1
1,-1,1,1
1,0,1,0
1,1,1,1
1,-1,-1,1
1,1,1,-1
1,-1,-1,1
-1,1,-1,-1
1,0,1,1
1,-1,1,1
-1,-1,-1,0
1,1,-1,-1
-1,-1,1,0
-1,-1,1,0
1,1,-1,0
-1,-1,1,0
1,1,-1,0
1,-1,1,0
1,0,-1,0
1,1,1,0
1,1,-1,0
-1,-1,1,0
1,-1,-1,0
1,0,1,0
1,1,1,0
1,0,1,0
1,1,1,1
1,-1,1,-1
1,1,1,0
1,0,1,1
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,1,1
1,0,1,0
-1,0,-1,1
-1,0,-1,-1
-1,0,-1,1
-1,1,-1,-1
-1,-1,-1,1
-1,0,-1,1
1,0,-1,-1
-1,0,-1,1
-1,1,-1,0
-1,0,-1,1
1,-1,-1,-1
-1,-1,-1,-1
-1,1,-1,1
1,0,1,0
-1,0,1,0
-1,0,1,0
1,0,1,1
-1,0,1,-1
1,0,1,1
-1,0,-1,1
1,1,1,-1
-1,-1,-1,-1
1,1,-1,1
1,0,1,1
-1,-1,-1,-1
-1,0,-1,1
1,1,-1,1
-1,0,-1,-1
1,-1,1,0
1,1,-1,1
-1,0,-1,1
1,1,-1,1
1,-1,1,-1
1,1,1,1
1,-1,-1,-1
-1,1,-1,1
1,1,-1,1
-1,-1,-1,-1
1,1,-1,1
1,-1,-1,1
1,-1,-1,-1
1,1,-1,1
-1,-1,1,-1
1,1,-1,-1
1,-1,-1,1
1,1,1,-1
1,-1,1,1
-1,1,-1,-1
-1,1,1,1
1,0,1,0
1,0,1,1
1,0,1,1
1,0,1,0
1,0,1,1
1,0,-1,0
1,0,1,-1
-1,0,1,-1
1,0,1,1
1,0,-1,-1
-1,0,-1,0
-1,0,-1,1
-1,0,-1,1
-1,0,-1,1
-1,1,-1,-1
1,0,-1,1
1,-1,-1,0
1,-1,-1,-1
-1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,-1,0
-1,0,-1,0
-1,0,-1,0
-1,0,-1,0
1,0,-1,0
1,0,1,0
-1,0,1,0
1,0,-1,0
1,0,1,1
-1,0,1,1
1,0,1,-1
-1,0,1,0
1,0,1,0
1,0,1,0
1,0,-1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
1,0,1,0
1,0,1,0
-1,0,-1,0
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,-1,0
1,0,-1,1
-1,0,-1,0
1,0,1,0
-1,0,1,0
1,0,1,0
1,0,-1,0
1,0,-1,1
1,0,-1,1
1,0,-1,1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,0
-1,0,-1,-1
-1,0,-1,-1
-1,0,-1,-1
-1,0,-1,1
1,0,1,-1
-1,1,-1,-1
1,1,-1,1
-1,0,-1,0
1,0,1,0
-1,0,1,0
1,0,-1,0
1,0,1,0
1,0,-1,0
-1,0,-1,1
-1,1,-1,-1
1,-1,-1,0
-1,-1,-1,0
-1,0,-1,1
1,0,-1,0
1,0,-1,0
-1,1,-1,-1
-1,-1,-1,1
-1,-1,-1,-1
-1,1,-1,0
1,-1,1,0
-1,0,1,0
1,0,-1,0
-1,0,-1,0
-1,0,-1,0
1,0,-1,0
1,0,-1,0
1,0,-1,0
1,0,1,0
-1,0,-1,0
1,0,-1,0
-1,0,-1,0
1,0,-1,0
-1,0,1,0
1,0,-1,0
1,0,1,0
-1,0,1,0
-1,0,-1,0
-1,1,1,0
-1,0,-1,1
1,0,-1,1
-1,0,1,-1
-1,0,-1,1
1,0,1,-1
1,0,-1,-1
1,1,1,1
1,-1,-1,-1
1,1,1,1
-1,-1,1,-1
-1,1,1,-1
-1,0,1,-1
1,0,1,-1
-1,1,1,1
1,-1,1,1
1,-1,-1,1
-1,1,-1,1
1,-1,1,-1
1,1,-1,0
-1,-1,1,0
-1,-1,1,0
-1,1,-1,1
1,1,-1,1
1,-1,-1,0
-1,1,-1,0
-1,1,-1,0
1,1,1,-1
1,-1,-1,1
-1,1,-1,0
1,1,1,-1
-1,-1,-1,1
1,-1,-1,-1
1,1,1,-1
1,-1,-1,1
-1,1,-1,1
1,-1,-1,-1
-1,0,-1,0
1,0,1,0
1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,0,1,0
-1,1,1,0
-1,-1,-1,0
-1,0,-1,0
1,0,1,0
-1,0,-1,0
-1,1,-1,0
-1,1,1,1
1,0,1,0
-1,-1,1,-1
-1,1,1,-1
-1,1,-1,0
1,1,1,0
-1,-1,-1,0
1,1,1,0
1,1,-1,0
1,-1,-1,0
1,-1,1,0
1,1,1,0
-1,1,-1,0
-1,1,-1,0
-1,-1,-1,0
1,1,-1,0
1,-1,-1,0
-1,1,-1,0
1,1,-1,0
-1,1,1,1
1,1,-1,0
-1,1,-1,-1
1,-1,-1,0
-1,1,1,0
1,-1,-1,0
-1,-1,-1,0
1,-1,-1,0
-1,1,1,0
1,-1,1,1
1,1,1,1
1,-1,1,-1
1,-1,1,-1
1,-1,-1,1
1,1,1,0
1,-1,1,0
1,1,-1,-1
-1,-1,-1,1
1,1,1,1
1,1,-1,-1
-1,-1,-1,1
-1,0,-1,1
-1,0,1,-1
-1,0,1,1
-1,0,-1,0
1,0,1,-1
-1,0,-1,1
1,0,1,-1
1,0,1,1
-1,1,1,-1
-1,-1,1,0
-1,0,-1,0
1,0,-1,0
-1,0,1,-1
-1,1,1,1
-1,-1,1,-1
1,-1,1,1
1,0,1,-1
-1,-1,1,-1
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,1,0
1,0,-1,0
-1,0,-1,0
-1,1,-1,0
-1,1,1,1
-1,0,-1,1
-1,-1,-1,-1
-1,-1,-1,1
-1,1,-1,-1
-1,-1,-1,0
-1,1,-1,1
-1,-1,-1,-1
-1,1,-1,-1
-1,-1,-1,-1
-1,-1,-1,1
-1,1,1,-1
-1,-1,1,1
1,1,1,0
1,-1,-1,0
1,1,-1,1
-1,1,-1,0
-1,-1,-1,-1
1,-1,-1,1
1,1,-1,-1
-1,-1,-1,1
-1,1,-1,-1
1,1,-1,1
1,-1,-1,-1
-1,-1,-1,1
-1,1,-1,-1
-1,1,-1,-1
-1,-1,-1,1
-1,-1,-1,0
-1,-1,1,-1
1,1,-1,1
1,-1,1,-1
1,1,-1,1
1,-1,1,-1
1,1,1,1
1,1,-1,1
-1,-1,-1,-1
-1,1,-1,-1
1,-1,-1,1
-1,1,-1,-1
-1,1,-1,-1
-1,-1,-1,-1
-1,1,-1,1
-1,1,1,-1
1,-1,1,1
-1,1,-1,-1
-1,-1,-1,-1
-1,0,1,0
-1,0,-1,0
-1,0,1,0
1,0,-1,1
1,0,1,-1
-1,0,1,1
-1,0,1,-1
1,0,1,1
-1,0,1,0
-1,0,1,0
-1,0,-1,0
-1,0,-1,0
-1,0,-1,0
-1,0,1,1
-1,0,-1,-1
-1,1,-1,0
-1,1,-1,-1
-1,1,-1,1
-1,0,1,-1
1,0,1,-1
1,0,1,1
1,0,1,-1
1,0,1,-1
1,0,-1,1
-1,0,-1,-1
1,0,-1,-1
-1,0,-1,1
-1,0,-1,1
-1,0,-1,1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,-1
-1,1,-1,1
-1,-1,1,-1
-1,-1,1,1
-1,1,1,-1
1,0,1,1
1,0,-1,-1
1,0,-1,1
-1,0,-1,1
-1,0,-1,1
-1,0,-1,-1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,1
1,0,-1,1
-1,0,-1,-1
-1,0,-1,1
-1,0,-1,-1
-1,0,1,-1
-1,0,-1,-1
-1,0,-1,-1
-1,0,-1,0
1,0,1,0
1,0,-1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
-1,0,-1,0
-1,0,1,0
-1,0,1,0
-1,0,-1,0
1,0,1,0
-1,0,-1,0
1,0,-1,0
1,1,1,0
1,1,1,1
-1,0,1,-1
1,-1,1,1
1,0,-1,0
1,0,1,0
1,0,1,0
-1,1,-1,1
1,-1,1,1
1,1,-1,1
1,0,1,-1
1,-1,1,1
1,1,1,0
1,1,1,-1
1,-1,1,-1
-1,-1,1,1
-1,1,-1,-1
1,0,1,1
1,0,1,-1
1,0,-1,1
-1,0,1,0
-1,-1,-1,-1
-1,0,-1,1
-1,1,1,-1
1,1,1,1
-1,0,1,0
1,0,1,0
1,0,1,0
1,-1,1,0
-1,0,1,0
-1,0,1,1
1,0,1,0
1,-1,-1,-1
1,1,1,0
-1,-1,1,1
1,1,-1,0
-1,0,1,-1
-1,-1,-1,0
-1,-1,-1,-1
-1,-1,1,1
1,1,1,0
1,-1,-1,0
-1,1,-1,0
-1,-1,1,1
-1,0,1,-1
-1,1,-1,1
1,-1,-1,1
1,1,1,0
1,-1,1,-1
-1,0,-1,0
-1,0,1,1
1,1,1,-1
1,1,1,1
-1,-1,1,1
-1,1,1,0
-1,-1,1,-1
-1,1,-1,0
-1,1,-1,0
1,1,-1,1
1,-1,1,1
-1,1,-1,-1
1,0,-1,1
1,0,1,-1
1,1,-1,1
-1,-1,-1,-1
1,-1,-1,-1
-1,1,-1,-1
-1,-1,-1,1
-1,1,-1,1
1,-1,-1,-1
1,1,-1,-1
1,0,-1,1
-1,1,-1,-1
-1,0,-1,1
-1,-1,-1,-1
1,0,1,1
1,0,-1,0
-1,0,1,-1
1,0,1,1
1,0,1,-1
-1,0,1,0
1,0,1,-1
-1,0,1,1
1,0,1,0
-1,0,1,-1
1,0,-1,0
1,0,1,1
-1,0,-1,0
-1,0,-1,-1
-1,0,1,1
-1,0,1,-1
1,1,1,-1
-1,0,-1,1
-1,-1,-1,-1
-1,1,1,0
1,-1,-1,0
1,0,1,0
1,1,-1,0
1,-1,1,0
1,0,1,0
1,0,1,0
-1,-1,1,0
-1,-1,1,0
-1,1,1,0
-1,0,1,0
-1,-1,1,0
-1,0,1,0
-1,1,1,0
1,-1,1,1
-1,-1,1,-1
-1,1,1,1
-1,1,1,0
-1,-1,-1,1
1,1,1,1
-1,-1,-1,-1
-1,1,-1,-1
1,-1,1,1
-1,1,-1,1
-1,-1,1,1
-1,1,-1,1
-1,-1,-1,-1
-1,1,-1,1
-1,-1,-1,-1
-1,-1,-1,1
-1,1,-1,-1
-1,1,-1,1
-1,-1,-1,-1
1,1,1,1
-1,-1,-1,1
